調査年月日,調査地名,種名,数
20220519,厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）,オオハクチョウ,4
20211023,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,44
20211101,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,25
20211111,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,10
20211126,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,16
20211205,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,8
20211212,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,8
20211222,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,15
20220123,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,23
20220202,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,50
20220214,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,80
20220225,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,47
20220302,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,56
20220313,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,13
20220323,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,5
20220402,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,23
20220413,厚岸・別寒辺牛・霧多布（琵琶瀬川下流）,オオハクチョウ,4
20211017,風蓮湖 根室市側,オオハクチョウ,135
20211027,風蓮湖 根室市側,オオハクチョウ,124
20211107,風蓮湖 根室市側,オオハクチョウ,132
20211114,風蓮湖 根室市側,オオハクチョウ,176
20211127,風蓮湖 根室市側,オオハクチョウ,28
20211205,風蓮湖 根室市側,オオハクチョウ,249
20211219,風蓮湖 根室市側,オオハクチョウ,33
20211226,風蓮湖 根室市側,オオハクチョウ,11
20220108,風蓮湖 根室市側,オオハクチョウ,17
20220118,風蓮湖 根室市側,オオハクチョウ,12
20220130,風蓮湖 根室市側,オオハクチョウ,78
20220206,風蓮湖 根室市側,オオハクチョウ,40
20220214,風蓮湖 根室市側,オオハクチョウ,107
20220226,風蓮湖 根室市側,オオハクチョウ,57
20220305,風蓮湖 根室市側,オオハクチョウ,6
20220321,風蓮湖 根室市側,オオハクチョウ,149
20220327,風蓮湖 根室市側,オオハクチョウ,438
20220407,風蓮湖 根室市側,オオハクチョウ,99
20220416,風蓮湖 根室市側,オオハクチョウ,102
20220424,風蓮湖 根室市側,オオハクチョウ,12
20211013,風蓮湖 別海町側,オオハクチョウ,251
20211020,風蓮湖 別海町側,オオハクチョウ,810
20211027,風蓮湖 別海町側,オオハクチョウ,164
20211106,風蓮湖 別海町側,オオハクチョウ,175
20211113,風蓮湖 別海町側,オオハクチョウ,101
20211126,風蓮湖 別海町側,オオハクチョウ,736
20211206,風蓮湖 別海町側,オオハクチョウ,271
20211219,風蓮湖 別海町側,オオハクチョウ,509
20220218,風蓮湖 別海町側,オオハクチョウ,575
20220227,風蓮湖 別海町側,オオハクチョウ,35
20220318,風蓮湖 別海町側,オオハクチョウ,4
20220329,風蓮湖 別海町側,オオハクチョウ,14
20220407,風蓮湖 別海町側,オオハクチョウ,653
20220414,風蓮湖 別海町側,オオハクチョウ,652
20220422,風蓮湖 別海町側,オオハクチョウ,25
20211012,小湊,オオハクチョウ,13
20211026,小湊,オオハクチョウ,25
20211116,小湊,オオハクチョウ,10
20211122,小湊,オオハクチョウ,14
20211203,小湊,オオハクチョウ,5
20211214,小湊,オオハクチョウ,45
20211221,小湊,オオハクチョウ,161
20220105,小湊,オオハクチョウ,245
20220111,小湊,オオハクチョウ,243
20220125,小湊,オオハクチョウ,194
20220201,小湊,オオハクチョウ,172
20220215,小湊,オオハクチョウ,184
20220223,小湊,オオハクチョウ,151
20220302,小湊,オオハクチョウ,152
20220316,小湊,オオハクチョウ,14
20220322,小湊,オオハクチョウ,28
20220405,小湊,オオハクチョウ,22
20220412,小湊,オオハクチョウ,13
20220426,小湊,オオハクチョウ,1
20220117,十和田湖,オオハクチョウ,4
20220126,十和田湖,オオハクチョウ,8
20220226,十和田湖,オオハクチョウ,5
20211014,大潟草原,オオハクチョウ,52
20211023,大潟草原,オオハクチョウ,66
20211105,大潟草原,オオハクチョウ,20
20211116,大潟草原,オオハクチョウ,172
20211126,大潟草原,オオハクチョウ,460
20211214,大潟草原,オオハクチョウ,172
20211224,大潟草原,オオハクチョウ,173
20220115,大潟草原,オオハクチョウ,12
20220125,大潟草原,オオハクチョウ,37
20220202,大潟草原,オオハクチョウ,2
20220225,大潟草原,オオハクチョウ,50
20220313,大潟草原,オオハクチョウ,30
20220417,大潟草原,オオハクチョウ,1
20211013,伊豆沼,オオハクチョウ,98
20211024,伊豆沼,オオハクチョウ,598
20211101,伊豆沼,オオハクチョウ,2432
20211111,伊豆沼,オオハクチョウ,2419
20211127,伊豆沼,オオハクチョウ,3024
20211203,伊豆沼,オオハクチョウ,3675
20211215,伊豆沼,オオハクチョウ,2624
20211227,伊豆沼,オオハクチョウ,3594
20220106,伊豆沼,オオハクチョウ,4103
20220113,伊豆沼,オオハクチョウ,2669
20220122,伊豆沼,オオハクチョウ,1947
20220203,伊豆沼,オオハクチョウ,2937
20220214,伊豆沼,オオハクチョウ,2654
20220221,伊豆沼,オオハクチョウ,1584
20220301,伊豆沼,オオハクチョウ,85
20211013,大山上池・下池,オオハクチョウ,24
20211022,大山上池・下池,オオハクチョウ,17
20211102,大山上池・下池,オオハクチョウ,53
20211116,大山上池・下池,オオハクチョウ,12
20211122,大山上池・下池,オオハクチョウ,15
20211203,大山上池・下池,オオハクチョウ,6
20211222,大山上池・下池,オオハクチョウ,8
20220106,大山上池・下池,オオハクチョウ,18
20220115,大山上池・下池,オオハクチョウ,35
20220124,大山上池・下池,オオハクチョウ,30
20220201,大山上池・下池,オオハクチョウ,31
20220214,大山上池・下池,オオハクチョウ,8
20220224,大山上池・下池,オオハクチョウ,9
20220301,大山上池・下池,オオハクチョウ,11
20220316,大山上池・下池,オオハクチョウ,5
20211022,佐潟,オオハクチョウ,11
20211105,佐潟,オオハクチョウ,78
20211112,佐潟,オオハクチョウ,77
20211126,佐潟,オオハクチョウ,168
20211203,佐潟,オオハクチョウ,150
20211217,佐潟,オオハクチョウ,191
20211224,佐潟,オオハクチョウ,143
20220107,佐潟,オオハクチョウ,199
20220114,佐潟,オオハクチョウ,221
20220128,佐潟,オオハクチョウ,204
20220204,佐潟,オオハクチョウ,197
20220211,佐潟,オオハクチョウ,244
20220225,佐潟,オオハクチョウ,99
20211107,阿武隈川西田堂坂,オオハクチョウ,7
20211125,阿武隈川西田堂坂,オオハクチョウ,9
20211209,阿武隈川西田堂坂,オオハクチョウ,4
20211223,阿武隈川西田堂坂,オオハクチョウ,8
20220107,阿武隈川西田堂坂,オオハクチョウ,110
20220122,阿武隈川西田堂坂,オオハクチョウ,29
20220208,阿武隈川西田堂坂,オオハクチョウ,75
20220224,阿武隈川西田堂坂,オオハクチョウ,5
20220307,阿武隈川西田堂坂,オオハクチョウ,9
20211121,千波湖,オオハクチョウ,3
20211220,千波湖,オオハクチョウ,5
20220103,千波湖,オオハクチョウ,10
20220121,千波湖,オオハクチョウ,6
20220202,千波湖,オオハクチョウ,14
20220222,千波湖,オオハクチョウ,17
20220301,千波湖,オオハクチョウ,20
20220315,千波湖,オオハクチョウ,9
20220203,琵琶湖,オオハクチョウ,8
20220214,琵琶湖,オオハクチョウ,8
20211009,高松の池,オオハクチョウ,4
20211022,高松の池,オオハクチョウ,12
20211113,高松の池,オオハクチョウ,8
20211126,高松の池,オオハクチョウ,25
20211210,高松の池,オオハクチョウ,127
20211225,高松の池,オオハクチョウ,74
20220105,高松の池,オオハクチョウ,128
20220121,高松の池,オオハクチョウ,206
20220207,高松の池,オオハクチョウ,314
20220219,高松の池,オオハクチョウ,322
20220311,高松の池,オオハクチョウ,57
20220322,高松の池,オオハクチョウ,352
20211025,仙台市大沼,オオハクチョウ,12
20211113,仙台市大沼,オオハクチョウ,50
20211123,仙台市大沼,オオハクチョウ,76
20211204,仙台市大沼,オオハクチョウ,65
20211227,仙台市大沼,オオハクチョウ,99
20220108,仙台市大沼,オオハクチョウ,162
20220123,仙台市大沼,オオハクチョウ,51
20220205,仙台市大沼,オオハクチョウ,102
20220223,仙台市大沼,オオハクチョウ,78
20220305,仙台市大沼,オオハクチョウ,4
20210902,お幕場大池,オオハクチョウ,2
20210916,お幕場大池,オオハクチョウ,2
20210928,お幕場大池,オオハクチョウ,2
20210930,お幕場大池,オオハクチョウ,3
20211002,お幕場大池,オオハクチョウ,2
20211003,お幕場大池,オオハクチョウ,2
20211004,お幕場大池,オオハクチョウ,2
20211005,お幕場大池,オオハクチョウ,2
20211007,お幕場大池,オオハクチョウ,2
20211008,お幕場大池,オオハクチョウ,4
20211009,お幕場大池,オオハクチョウ,4
20211010,お幕場大池,オオハクチョウ,2
20211012,お幕場大池,オオハクチョウ,2
20211013,お幕場大池,オオハクチョウ,2
20211015,お幕場大池,オオハクチョウ,5
20211017,お幕場大池,オオハクチョウ,8
20211019,お幕場大池,オオハクチョウ,2
20211023,お幕場大池,オオハクチョウ,6
20211026,お幕場大池,オオハクチョウ,7
20211029,お幕場大池,オオハクチョウ,5
20211102,お幕場大池,オオハクチョウ,18
20211107,お幕場大池,オオハクチョウ,22
20211113,お幕場大池,オオハクチョウ,25
20211119,お幕場大池,オオハクチョウ,59
20211126,お幕場大池,オオハクチョウ,52
20211201,お幕場大池,オオハクチョウ,52
20211204,お幕場大池,オオハクチョウ,54
20211211,お幕場大池,オオハクチョウ,70
20211219,お幕場大池,オオハクチョウ,15
20211223,お幕場大池,オオハクチョウ,59
20211227,お幕場大池,オオハクチョウ,22
20211229,お幕場大池,オオハクチョウ,22
20220102,お幕場大池,オオハクチョウ,6
20220106,お幕場大池,オオハクチョウ,2
20220113,お幕場大池,オオハクチョウ,24
20220120,お幕場大池,オオハクチョウ,45
20220123,お幕場大池,オオハクチョウ,39
20220126,お幕場大池,オオハクチョウ,28
20220129,お幕場大池,オオハクチョウ,50
20220203,お幕場大池,オオハクチョウ,57
20220208,お幕場大池,オオハクチョウ,33
20220210,お幕場大池,オオハクチョウ,56
20220214,お幕場大池,オオハクチョウ,81
20220219,お幕場大池,オオハクチョウ,42
20220224,お幕場大池,オオハクチョウ,25
20220227,お幕場大池,オオハクチョウ,63
20220302,お幕場大池,オオハクチョウ,67
20220305,お幕場大池,オオハクチョウ,96
20220309,お幕場大池,オオハクチョウ,43
20220312,お幕場大池,オオハクチョウ,21
20220318,お幕場大池,オオハクチョウ,6
20220323,お幕場大池,オオハクチョウ,2
20220330,お幕場大池,オオハクチョウ,2
20220404,お幕場大池,オオハクチョウ,3
20220408,お幕場大池,オオハクチョウ,4
20220412,お幕場大池,オオハクチョウ,3
20220415,お幕場大池,オオハクチョウ,3
20220418,お幕場大池,オオハクチョウ,4
20220420,お幕場大池,オオハクチョウ,4
20220422,お幕場大池,オオハクチョウ,4
20220423,お幕場大池,オオハクチョウ,2
20220425,お幕場大池,オオハクチョウ,2
20220426,お幕場大池,オオハクチョウ,2
20220427,お幕場大池,オオハクチョウ,2
20220429,お幕場大池,オオハクチョウ,2
20220501,お幕場大池,オオハクチョウ,2
20220502,お幕場大池,オオハクチョウ,2
20220504,お幕場大池,オオハクチョウ,2
20211125,諫早湾,オオハクチョウ,18
20211202,諫早湾,オオハクチョウ,2
20211222,諫早湾,オオハクチョウ,29
20220107,諫早湾,オオハクチョウ,36
20220128,諫早湾,オオハクチョウ,44
20220210,諫早湾,オオハクチョウ,33
20220218,諫早湾,オオハクチョウ,36
20220328,諫早湾,オオハクチョウ,1
